식별,,,분류,,보험 기간,가입조건,,,,,검수,,
11,수도권지하철지연보험,삼성화재,교통·이동,"지하철,지하철지연,대중교통,출퇴근,수도권",365,,,all,"수도권지하철이 30분 이상 지연되면 택시, 버스 등 대체 교통비를 보장.
수도권지하철 노선 : 수도권(서울특별시, 인천광역시 및 경기도) 내에서 운영중인 도시철도, 광역철도 노선을 말합니다. 대상 노선으로는 1호선 내지 9호선, 신분당선, 수인분당선, 경의중앙선, 경춘선, 경강선, 서해선, 공항철도, GTX-A, 인천1호선, 인천2호선, 에버라인, 김포골드라인, 의정부선, 우이신설선, 신림선을 말하며 이와 유사한 노선을 포함합니다.
지하철 하차 이후 2시간 이내 결제 건에 한해 보장합니다.",https://direct.samsungfire.com/m/mall/MP030314_001.html,Y,,
12,글로벌케어보험,삼성화재,여행,"해외체류,유학,어학연수,장기출장,해외거주",최대보장기간 적어두기,0,110,all,"일상적인 감기 치료와 시급한 응급실 치료도 보장. 해외의료비 부담을 덜어드려요.
갑작스러운 사고·질병에도 응급이송·구조·송환 비용을 보장해요.
해외 생활 중 작은 불편까지 케어, 휴대품 손해(분실은 보장 안 함), 항공기 지연, 감염병 진단 등 일상 생활 속 사고도 보장해요.
항공기, 선박, 차량 등을 사용하다 발생한 손해는 보상하지 않습니다.",https://direct.samsungfire.com/m/mall/MP030702_001.html,,,
13,해외여행보험,삼성화재,여행,"해외여행,해외출장,배낭여행,패키지여행",,0,110,all,"여행 중 갑작스러운 상황에도 병원 진료비와 휴대품 손해(분실제외) 등 여행 중 돌발 사고를 보장해요.
국내·해외 출발 항공기 지연 발생 시 보장해요. (입력한 항공편이 2시간 이상 지연되는 경우 적용됩니다. 항공편 지연을 보장하는 특약명은 항공기 지연·결항 보상(지수형)(국내 출국), 항공기 지연·결항 보상(지수형)(국내 출국 제외) 특별약관입니다. 환승 전용 내항기 및 이와 유사한 성격의 국내선은 제외합니다.)
",https://direct.samsungfire.com/m/mall/MP030701_001.html,,,
14,국내여행보험,삼성화재,여행,"국내여행,국내출장,제주도여행,캠핑,등산",,0,69,all,"가족캠핑, 소도시 여행, 한달 살기, 수련회, 여행에서의 치료비, 의료비(질병, 상해) 보장",https://direct.samsungfire.com/m/mall/MP030703_001.html,,,
15,4계절보험,삼성화재,신체·질환,"봄(꽃가루,알레르기,호흡기), 여름( 장염, 식중독, 열사병, 물놀이), 가을(호흡기, 소화기, 야외활동), 겨울(독감, 한랭질환, 호흡기)",90,19,70,all,"미세먼지와 꽃가루로 호흡기 질환이 심해지는 봄, 무더위, 물놀이, 식중독이 걱정되는 여름, 야외 활동 증가로 야외감염 질환이 발생하는 가을, 실내 활동 증가로 낙상 등 골절이 걱정되는 겨울
봄 플랜(3~5월) : 깁스치료비(부목치료 제외), 특정 2대 호흡계질환 진단비, 특정 5대 호흡계질환 진단비, 수두 진단비, 봄철 특정감염병 진단비, 봄철 다빈도 질병(호흡계질환) 입원일당, 봄철 다빈도 질병(호흡계질환) 수술비
여름 플랜(6~8월) : 깁스치료비(부목치료 제외), 특정 4대 소화계질환 진단비, 특정 6대 소화계질환 진단비, 여름철 기후성질환(온열질환)진단비, 여름철 수족구진단비, 여름철 특정감염병 진단비, 여름철 식중독진단비(2일이상입원), 여름철 음식매개세균성장염진단비(4일이상입원), 여름철 다빈도 질병(피부 및 근골격계질환) 입원일당, 여름철 다빈도 질병(피부 및 근골격계질환) 수술비
가을 플랜(9~11월) : 깁스치료비(부목치료 제외), 특정 2대 호흡계질환 진단비, 특정 5대 호흡계질환 진단비, 가을철 특정감염병 진단비, 가을철 다빈도 질병(호흡계 및 특정 소화계질환) 입원일당, 가을철 다빈도 질병(호흡계 및 특정 소화계질환) 수술비
겨울 플랜(12~2월) : 깁스치료비(부목치료 제외), 특정 4대 소화계질환 진단비, 특정 6대 소화계질환 진단비, 겨울철 기후성질환(한랭질환) 진단비, 겨울철 독감항바이러스제치료비(10일면책)(연간1회한), 겨울철 특정감염병 진단비, 겨울철 다빈도 질병(호흡계 질환) 입원일당, 겨울철 다빈도 질병(호흡계 질환) 수술비
",https://direct.samsungfire.com/m/mall/MP030802_001.html,,,
16,미니생활보험,삼성화재,이색·일상,"러닝/산책, 자전거/라이딩, 등산/캠핑, 헬스/웨이트, 라켓스포츠, 구기스포츠, 문화/관람",30,,,,"일정에 맞춰 필요한 만큼 보장받아요.(기간형의 경우, 월단위로 가입 가능합니다.)

러닝/산책: 일상상해, 허리/골반, 발/발목/다리, 화상, 야외활동, 상처치료 카테고리 보장
자전거: 일상상해, 어깨/팔, 허리/골반, 손/손목, 발/발목/다리, 화상, 자전거, 흉터케어, 상처치료 카테고리 보장
등산/캠핑: 일상상해, 어깨/팔, 허리/골반, 손/손목, 발/발목/다리, 화상, 식중독, 야외활동, 상처치료 카테고리 보장
헬스: 일상상해, 가슴/등, 어깨/팔, 허리/골반, 손/손목, 발/발목/다리, 상처치료 카테고리 보장
라켓스포츠: 일상상해, 머리/얼굴/목, 어깨/팔, 손/손목, 발/발목/다리, 흉터케어, 상처치료 카테고리 보장
구기스포츠: 일상상해, 머리/얼굴/목, 가슴/등, 어깨/팔, 허리/골반, 손/손목, 발/발목/다리, 흉터케어, 상처치료 카테고리 보장
스포츠관람/문화활동: 일상상해, 식중독, 야외활동, 흉터케어 카테고리 보장",https://direct.samsungfire.com/mall/PP030805_001.html,,,
17,사이버사고 보상보험,삼성화재,기타,"피싱, 해킹, 스미싱, 파밍, 인터넷 사기",365,,,,"판매자가 돈을 받고 물품을 안 보낸 경우, 판매자가 다른 물건을 보낸 경우, 물품을 보냈는데 구매자로부터 돈을 못 받은 경우, 허위 쇼핑몰에서 금전상 피해를 입은 경우, 무심코 댓글을 달았는데 법적 문제가 됐어요. 저작권을 위반했어요

",https://direct.samsungfire.com/mall/PP030311_001.html,,,
18,착한골프보험,삼성화재,레저·스포츠,"홀인원, 골프 중 사고, 개인형 골프 보험",30,,,,"기념품 구입비 및 기념식수 비용 보장, 축하만찬 비용 (홀인원 한 날로부터 1개월 이내), 동반 캐디 축하금 보장, 축하라운드 비용 (홀인원 한 날로부터 3개월 이내) 보장, 골프장에서 일어날 수 있는 사고 비용을 보장해요.
",https://direct.samsungfire.com/mall/PP030801_001.html,,,
19,"원데이 자동차보험
",삼성화재,생활,타인의 차 사용,30,,,all,"른사람의 자동차나 렌터카를 운전할 때 보장해 드려요. 다른 사람의 자동차라면 친구차도 렌터카도 보장. 법인차, 카셰어링 차량도 든든하게 보장",https://direct.samsungfire.com/mall/PP030109_001.html,,,
20,스크린홀인원보험,삼성화재,레저·스포츠,홀인원,1게임,무관,무관,all,"스크린 골프장에서 홀인원 하면 축하 비용 지급, 골퍼라면 자주 이용하는 ‘골프존', ‘SG골프’에서 보장 받아요.",https://direct.samsungfire.com/mall/PP030803_001.html,,,
